,Compound,Date,Negative,Neutral,NewsOrg,Positive,Text,Tweets Ago
419,0.3818,Tue Apr 10 15:38:34 +0000 2018,0.0,0.843,@FoxNews,0.157,.@SenJohnKennedy: “It seems to me that Facebook has an obligation to protect people’s data.” https://t.co/G4uvFBgNSQ,20
420,-0.1027,Tue Apr 10 15:37:19 +0000 2018,0.149,0.851,@FoxNews,0.0,Would you pay $20 million for a license plate? https://t.co/jcn7gsDwtd,21
421,0.4588,Tue Apr 10 15:25:50 +0000 2018,0.0,0.765,@FoxNews,0.235,.@SenJohnKennedy: “I don’t want to have to regulate Facebook. Clearly though we have a problem.” https://t.co/Tk5PHNmg8n,22
422,-0.6486,Tue Apr 10 15:15:00 +0000 2018,0.301,0.699,@FoxNews,0.0,6 dead when Arizona plane crashes shortly after takeoff (via @travfed)  https://t.co/ARuWr8WJ2V,23
423,0.34,Tue Apr 10 15:10:17 +0000 2018,0.0,0.806,@FoxNews,0.194,Awaiting U.N. Security Council Vote on Syria; @EricShawnTV reports https://t.co/ZyUcHIjt9z https://t.co/BIHnjDOI1D,24
424,-0.296,Tue Apr 10 15:05:00 +0000 2018,0.3,0.471,@FoxNews,0.229,Popular Black Lives Matter Facebook page exposed as fraud https://t.co/5LEm09NrrM (via @christocarbone),25
425,0.4215,Tue Apr 10 18:45:15 +0000 2018,0.0,0.851,@FoxNews,0.149,.@SenFeinstein to Mark Zuckerberg: “You have a real opportunity this afternoon to lead the industry and demonstrate… https://t.co/2ETQv4jfo9,26
426,0.34,Tue Apr 10 18:39:01 +0000 2018,0.0,0.805,@FoxNews,0.195,".@SenJohnThune: “Today’s hearing is extraordinary…In many respects, Facebook’s incredible reach is why we’re here t… https://t.co/SXchuXamIp",27
427,0.0,Tue Apr 10 18:31:43 +0000 2018,0.0,1.0,@FoxNews,0.0,Feds request documents from Trump Organization related to Michael Cohen's payment to Stormy Daniels - via… https://t.co/nKtJciJBCd,28
428,0.0,Tue Apr 10 18:31:22 +0000 2018,0.0,1.0,@FoxNews,0.0,Facebook's Mark Zuckerberg testifies before Senate committees https://t.co/Il5feaxDRW https://t.co/UKEQTxL4tl,29
429,0.0,Tue Apr 10 18:30:26 +0000 2018,0.0,1.0,@FoxNews,0.0,".@Facebook CEO Mark Zuckerberg testifies before Congress. 

Live blog: https://t.co/Il5feaxDRW https://t.co/OqG4FdSUeZ",30
430,-0.34,Tue Apr 10 18:26:30 +0000 2018,0.167,0.833,@FoxNews,0.0,Los Angeles painting city streets white in bid to combat climate change https://t.co/wnrEqTzmCW,31
431,0.0,Tue Apr 10 18:16:27 +0000 2018,0.0,1.0,@FoxNews,0.0,LIVE BLOG: Facebook's Mark Zuckerberg testifies before Senate committees https://t.co/Il5feaxDRW,32
432,0.0,Tue Apr 10 18:01:22 +0000 2018,0.0,1.0,@FoxNews,0.0,Awaiting: @WhiteHouse briefing and Mark Zuckerberg hearing https://t.co/hsmssS2hbP,33
433,-0.8658,Tue Apr 10 17:45:00 +0000 2018,0.409,0.591,@FoxNews,0.0,"T.J. Miller arrested at NYC airport after making false bomb threat on Amtrak train, officials say https://t.co/YuMd5KbZLG",34
434,0.2023,Tue Apr 10 17:34:51 +0000 2018,0.127,0.696,@FoxNews,0.177,Puppy in Texas Rescued After Getting Head Stuck in Car Wheel https://t.co/rJwe7uUEpy https://t.co/Dtayq6fKz3,35
435,0.4019,Tue Apr 10 17:34:04 +0000 2018,0.141,0.604,@FoxNews,0.255,"Tennessee woman says 'it's a miracle' her wallet, purse blocked bullets https://t.co/TW61TsvxIR",36
436,-0.5574,Tue Apr 10 17:14:02 +0000 2018,0.217,0.783,@FoxNews,0.0,TN Communities Hold Vigils for Illegal Immigrants Nabbed by ICE at Meatpacking Plant https://t.co/GJ3Ix2IQNB,37
437,0.0,Tue Apr 10 17:06:37 +0000 2018,0.0,1.0,@FoxNews,0.0,Obamas won't be attending Meghan Markle and Prince Harry's wedding https://t.co/7bTlBnFsCa,38
438,0.6486,Tue Apr 10 16:50:47 +0000 2018,0.14,0.468,@FoxNews,0.392,Starbucks baristas celebrate engagement with coffee-filled photo shoot (via @JaninePuhak) https://t.co/tWt3f52imV,39
439,0.4767,Tue Apr 10 16:38:44 +0000 2018,0.0,0.659,@FoxNews,0.341,.@FLOTUS comforts child who spilled water https://t.co/BERxpZCGXY,40
440,0.6249,Tue Apr 10 16:33:47 +0000 2018,0.0,0.745,@FoxNews,0.255,Sen. @RandPaul: FBI Raid on Trump's Attorney Was 'Great Overstep' by Mueller https://t.co/TVaz6Q6N9r,41
441,-0.5106,Tue Apr 10 16:24:59 +0000 2018,0.309,0.537,@FoxNews,0.154,.@POTUS: “We’re making sure that terrorism funding is stopped.” https://t.co/781KLXUBgk,42
442,0.4939,Tue Apr 10 15:47:54 +0000 2018,0.0,0.789,@FoxNews,0.211,"Amber Heard donates $7M Johnny Depp divorce settlement to children's hospital, charities https://t.co/JJXSWTKBgc",43
443,0.0,Tue Apr 10 15:39:38 +0000 2018,0.0,1.0,@FoxNews,0.0,Former #Trump administration officials: A list of notable departures https://t.co/0YfN6m9FGX,44
